reader_well,plate_number,well_position,design_id,design_index,scaffold,parent,source_well,ori_family,rate_abs_per_min,fit_intercept_abs,fit_r2,fit_residual_sd,fit_n_points,fit_first_min,fit_last_min,fit_segmented,initial_abs,final_abs,max_abs,max_abs_in_window,n_drop_artifacts,first_drop_min,largest_drop_abs,flag_optical_artifact,flag_above_linear_range,flag_saturated_in_window,qc_pass,rate_corrected_abs_per_min,robust_z,fold_over_background,is_hit,activity_rank
B2,1,D1,ZAPP_i3_AR_pte_0037,37,1,ZAPP_p1D1_rotP_1_ORI_05_C9_i_14_model_2__eV2_T0_10__6_1_FS232_chisel_202_af3i2_idx_3_model_aligned_chiseli2_181,P1D1,ORI_05_C9_i_14_model_2,0.0004837092619609069,0.1568842107794414,0.9761268290151058,0.0003066177897935989,19,2.09999952,14.69999952,False,0.156,0.191,0.191,0.164,0,,0.0,False,False,False,True,0.00011027568623513497,0.5030100570651176,1.295302011932947,False,101
H11,2,G6,ZAPP_i3_AR_pte_0174,174,8,ZAPP_p1D1_rotP_0_ORI_01_C11_i_38_model_5__eV2_T0_10__2_1_FS021_chisel_257_af3i2_idx_3_model_aligned_chiseli2_186,P2G6,ORI_01_C11_i_38_model_5,0.0004837092608754896,0.15998947394645366,0.9761268246343429,0.0003066178179260115,19,2.09999952,14.69999952,False,0.16,0.187,0.187,0.167,0,,0.0,False,False,False,True,0.00011027568514971768,0.5030100521141095,1.2953020090263596,False,102
E1,2,A1,ZAPP_i3_AR_pte_0097,97,2,ZAPP_p1D1_rotP_0_ORI_06_C1_i_5_model_5__eV2_T0_10__5_1_FS150_chisel_369_af3i2_idx_4_model_aligned_chiseli2_292,P2A1,ORI_06_C1_i_5_model_5,0.00048120299588670184,0.17401052657153632,0.9660377286582383,0.00036571321872333403,19,2.09999952,14.69999952,False,0.174,0.204,0.204,0.181,0,,0.0,False,False,False,True,0.00010776942016092994,0.4915780081335139,1.2885906012909498,False,103
D20,1,H10,ZAPP_i3_AR_pte_0094,94,2,ZAPP_p1D1_rotP_0_ORI_06_C1_i_5_model_5__eV2_T0_10__5_1_FS150_chisel_369_af3i2_idx_4_model_aligned_chiseli2_019,P1H10,ORI_06_C1_i_5_model_5,0.0004786967287270706,0.1672421055306436,0.9455935586127278,0.00046541929437770896,19,2.09999952,14.69999952,False,0.167,0.192,0.192,0.174,0,,0.0,False,False,False,True,0.00010526315300129867,0.48014595425086126,1.2818791877423412,False,104
H19,2,G10,ZAPP_i3_AR_pte_0178,178,8,ZAPP_p1D1_rotP_0_ORI_01_C11_i_38_model_5__eV2_T0_10__2_1_FS021_chisel_257_af3i2_idx_2_model_aligned_chiseli2_116,P2G10,ORI_01_C11_i_38_model_5,0.00047368420281982825,0.16338947390451297,0.9727941257832713,0.0003210855717721296,19,2.09999952,14.69999952,False,0.162,0.193,0.193,0.17,0,,0.0,False,False,False,True,0.00010025062709405634,0.4572818848560338,1.2684563831712727,False,105
C9,1,E5,ZAPP_i3_AR_pte_0053,53,1,ZAPP_p1D1_rotP_1_ORI_05_C9_i_14_model_2__eV2_T0_20__3_1_FS232_chisel_261_af3i2_idx_2_model_aligned_chiseli2_021,P1E5,ORI_05_C9_i_14_model_2,0.00045864660284695714,0.15798947394987278,0.9706956339109943,0.0003230084060018458,19,2.09999952,14.69999952,False,0.158,0.186,0.186,0.165,0,,0.0,False,False,False,True,8.521302712118523e-05,0.38868957517547686,1.2281879098727875,False,106
H21,2,G11,ZAPP_i3_AR_pte_0179,179,8,ZAPP_p1D1_rotP_0_ORI_01_C11_i_38_model_5__eV2_T0_10__2_1_FS021_chisel_257_af3i2_idx_2_model_aligned_chiseli2_201,P2G11,ORI_01_C11_i_38_model_5,0.0004360902171338068,0.16275789495087625,0.9722543374380356,0.00029860354935649154,19,2.09999952,14.69999952,False,0.162,0.189,0.189,0.169,0,,0.0,False,False,False,True,6.265664140803488e-05,0.2858011756368705,1.1677852380741638,False,107
B1,1,C1,ZAPP_i3_AR_pte_0025,25,1,ZAPP_p1D1_rotP_1_ORI_05_C9_i_14_model_2__eV2_T0_10__6_1_FS232_chisel_103_af3i2_idx_0_model_aligned_chiseli2_040,P1C1,ORI_05_C9_i_14_model_2,0.0004360902155056745,0.16291578970139467,0.9722543301782675,0.0002986035884219199,19,2.09999952,14.69999952,False,0.163,0.187,0.187,0.169,0,,0.0,False,False,False,True,6.265663977990258e-05,0.28580116821032936,1.1677852337142658,False,108
A12,1,B6,ZAPP_i3_AR_pte_0018,18,1,ZAPP_p1D1_rotP_1_ORI_05_C9_i_14_model_2__eV2_T0_10__8_1_FS232_chisel_108_af3i2_idx_1_model_aligned_chiseli2_020,P1B6,ORI_05_C9_i_14_model_2,0.0004185463575992558,0.1478526317862573,0.9703897018979075,0.00029634860225976196,19,2.09999952,14.69999952,False,0.148,0.174,0.174,0.154,0,,0.0,False,False,False,True,4.511278187348391e-05,0.20577684673085608,1.1208053715732624,False,109
B7,1,C4,ZAPP_i3_AR_pte_0028,28,1,ZAPP_p1D1_rotP_1_ORI_05_C9_i_14_model_2__eV2_T0_10__6_1_FS232_chisel_221,P1C4,ORI_05_C9_i_14_model_2,0.00041854635759925484,0.15485263178625733,0.9703897018979071,0.0002963486022597645,19,2.09999952,14.69999952,False,0.155,0.183,0.183,0.161,0,,-0.0010000000000000009,False,False,False,True,4.5112781873482934e-05,0.20577684673085161,1.1208053715732598,False,110
G20,2,F10,ZAPP_i3_AR_pte_0166,166,7,ZAPP_p1D1_rotP_1_ORI_10_C3_i_38_model_2__eV2_T0_10__2_1_FS108_chisel_096_af3i2_idx_0_model_aligned_chiseli2_202,P2F10,ORI_10_C3_i_38_model_2,0.0004160400896255623,0.15866315812062376,0.9568055458202075,0.00035830127252997206,19,2.09999952,14.69999952,False,0.159,0.183,0.183,0.165,0,,0.0,False,False,False,True,4.260651389979039e-05,0.19434478913495068,1.1140939558447154,False,111
G4,2,F2,ZAPP_i3_AR_pte_0158,158,6,ZAPP_p1D1_rotP_0_ORI_02_C6_i_9_model_1__FS125_chisel_167_chiseli2_222,P2F2,ORI_02_C6_i_9_model_1,0.00041353382246593065,0.1588947370797311,0.9472859957430027,0.00039540713069408106,19,2.09999952,14.69999952,False,0.159,0.181,0.181,0.165,0,,-0.0010000000000000009,False,False,False,True,4.010024674015874e-05,0.18291273525229634,1.1073825422961059,False,112
C19,1,E10,ZAPP_i3_AR_pte_0058,58,1,ZAPP_p1D1_rotP_1_ORI_05_C9_i_14_model_2__eV2_T0_10__8_1_FS232_chisel_199_af3i2_idx_1_model_aligned_chiseli2_228,P1E10,ORI_05_C9_i_14_model_2,0.00040852129411649024,0.15677894757937805,0.9482155566609786,0.0003869651310226637,19,2.09999952,14.69999952,False,0.156,0.182,0.182,0.163,0,,-0.0010000000000000009,False,False,False,True,3.508771839071833e-05,0.16004865471765886,1.0939597311851914,False,113
C23,1,E12,ZAPP_i3_AR_pte_0060,60,1,ZAPP_p1D1_rotP_1_ORI_05_C9_i_14_model_2__eV2_T0_20__4_1_FS232_chisel_432_af3i2_idx_4_model_aligned_chiseli2_065,P1E12,ORI_05_C9_i_14_model_2,0.00040601502885634767,0.16032631599621378,0.9655629118422447,0.00031079644952432056,19,2.09999952,14.69999952,False,0.16,0.184,0.184,0.166,0,,0.0,False,False,False,True,3.2581453130575764e-05,0.1486166094993089,1.0872483227231333,False,114
G24,2,F12,ZAPP_i3_AR_pte_0168,168,7,ZAPP_p1D1_rotP_1_ORI_10_C3_i_38_model_2__eV2_T0_10__2_1_FS108_chisel_096_af3i2_idx_0_model_aligned_chiseli2_432,P2F12,ORI_10_C3_i_38_model_2,0.00039849623388997854,0.18038947387146198,0.8261764765516054,0.0007408889186895943,19,2.09999952,14.69999952,False,0.181,0.209,0.212,0.187,0,,-0.0030000000000000027,False,False,False,True,2.5062658164206632e-05,0.11432047755749505,1.0671140995168875,False,115
E8,2,B4,ZAPP_i3_AR_pte_0112,112,3,ZAPP_p1D1_rotP_1_ORI_11_C9_i_12_model_3__eV2_T0_10__4_1_FS111_chisel_208_af3i2_idx_3_model_aligned_chiseli2_400,P2B4,ORI_11_C9_i_12_model_3,0.00039348370092749945,0.1542210528309111,0.966627449513845,0.00029634861443805565,19,2.09999952,14.69999952,False,0.154,0.178,0.178,0.16,0,,-0.0020000000000000018,False,False,False,True,2.005012520172754e-05,0.09145637598100391,1.0536912760529364,False,116
C11,1,E6,ZAPP_i3_AR_pte_0054,54,1,ZAPP_p1D1_rotP_1_ORI_05_C9_i_14_model_2__eV2_T0_20__4_1_FS232_chisel_432_af3i2_idx_1_model_aligned_chiseli2_051,P1E6,ORI_05_C9_i_14_model_2,0.0003909774370241347,0.15713684228898153,0.9566037804897054,0.00033753795403942423,19,2.09999952,14.69999952,False,0.157,0.181,0.181,0.163,0,,0.0,False,False,False,True,1.754386129836278e-05,0.08002433695144232,1.046979871224129,False,117
D21,1,G11,ZAPP_i3_AR_pte_0083,83,1,ZAPP_p1D1_rotP_1_ORI_05_C9_i_14_model_2__eV2_T0_10__8_1_FS232_chisel_308_af3i2_idx_2_model_aligned_chiseli2_153,P1G11,ORI_05_C9_i_14_model_2,0.0003909774364814199,0.15518947387248763,0.9543529454155756,0.00034658884554144073,19,2.09999952,14.69999952,False,0.155,0.178,0.178,0.161,0,,-0.0010000000000000009,False,False,False,True,1.7543860755647983e-05,0.08002433447591022,1.0469798697708188,False,118
A3,1,A2,ZAPP_i3_AR_pte_0002,2,1,ZAPP_p1D1_rotP_1_ORI_05_C9_i_14_model_2__eV2_T0_10__8_1_FS232_chisel_108_af3i2_idx_1_model_aligned_chiseli2_170,P1A2,ORI_05_C9_i_14_model_2,0.00039097743485328964,0.15334736862300608,0.9611374370226885,0.00031866596520062747,19,2.09999952,14.69999952,False,0.152,0.178,0.178,0.159,0,,0.0,False,False,False,True,1.7543859127517735e-05,0.08002432704937842,1.0469798654109264,False,119
H8,2,H4,ZAPP_i3_AR_pte_0184,184,10,ZAPP_p1D1_rotP_0_ORI_01_C9_i_11_model_7__eV2_T0_10__8_1_FS118_chisel_184_af3i2_idx_2_model_aligned_chiseli2_118,P2H4,ORI_01_C9_i_11_model_7,0.0003784461096379964,0.15997894754017267,0.940635323918003,0.0003853616301455055,19,2.09999952,14.69999952,False,0.159,0.18,0.181,0.165,0,,-0.0010000000000000009,False,False,False,True,5.012533912224476e-06,0.022864105908647167,1.013422826007229,False,120
D6,1,H3,ZAPP_i3_AR_pte_0087,87,1,ZAPP_p1D1_rotP_1_ORI_05_C9_i_14_model_2__eV2_T0_30__10_1_FS232_chisel_245,P1H3,ORI_05_C9_i_14_model_2,0.0003734335769468696,0.15528421070786874,0.9585924038950127,0.000314591799953017,19,2.09999952,14.69999952,False,0.155,0.174,0.174,0.161,0,,0.0,False,False,False,True,1.2210977129618883e-12,5.56989896185607e-09,1.0000000032699194,False,121
C1,1,E1,ZAPP_i3_AR_pte_0049,49,1,ZAPP_p1D1_rotP_1_ORI_05_C9_i_14_model_2__eV2_T0_20__8_1_FS232_chisel_009_c00_r2_af3i2_idx_3_model_aligned_chiseli2_273,P1E1,ORI_05_C9_i_14_model_2,0.00037343357450467414,0.15602105283364637,0.961082241724092,0.0003045916612457767,19,2.09999952,14.69999952,False,0.155,0.182,0.182,0.162,0,,0.0,False,False,False,True,-1.221097767171997e-12,-5.569899209129343e-09,0.9999999967300804,False,122
A11,1,A6,ZAPP_i3_AR_pte_0006,6,1,ZAPP_p1D1_rotP_1_ORI_05_C9_i_14_model_2__eV2_T0_10__6_1_FS232_chisel_202_af3i2_idx_4_model_aligned_chiseli2_334,P1A6,ORI_05_C9_i_14_model_2,0.00037092730924452973,0.15856842125048218,0.9581802199011342,0.0003140993928557821,19,2.09999952,14.69999952,False,0.158,0.181,0.181,0.164,0,,0.0,False,False,False,True,-2.506266481242176e-06,-0.011432050788257563,0.9932885882680174,False,123
F5,2,C3,ZAPP_i3_AR_pte_0123,123,3,ZAPP_p1D1_rotP_1_ORI_11_C9_i_12_model_3__eV2_T0_10__4_1_FS111_chisel_058_af3i2_idx_3_model_aligned_chiseli2_177,P2C3,ORI_11_C9_i_12_model_3,0.0003684210420849002,0.1608000002095894,0.9527777621988209,0.0003324550379418467,19,2.09999952,14.69999952,False,0.16,0.184,0.184,0.166,0,,-0.0010000000000000009,False,False,False,True,-5.012533640871711e-06,-0.022864104670902257,0.9865771747194135,False,124
H22,2,H11,ZAPP_i3_AR_pte_0191,191,10,ZAPP_p1D1_rotP_0_ORI_01_C9_i_11_model_7__eV2_T0_10__8_1_FS118_chisel_184_af3i2_idx_1_model_aligned_chiseli2_074,P2H11,ORI_01_C9_i_11_model_7,0.00036340851482087675,0.15557894754222412,0.9600456671184712,0.00030049836316485285,19,2.09999952,14.69999952,False,0.155,0.173,0.173,0.161,0,,-0.0009999999999999731,False,False,False,True,-1.0025060904895154e-05,-0.04572818025453314,0.9731543665150855,False,125
